					max_d_1 	 mean_d_1 	 max_plane_d_1 	 mean_plane_d_1 	 max_d_2 	 mean_d_2 	 max_plane_d_2 	 mean_plane_d_2


data1
mean50_max50		1.019515 	 0.575526  	  0.275135    	    0.069861    	 1.097265 	 0.569311 	   0.319875 	   0.069153
mean40_max60		1.070873 	 0.558144  	  0.258158    	    0.077598    	 1.096377 	 0.571884 	   0.280920 	   0.078961
mean30_max70		1.071195 	 0.559219  	  0.244862    	    0.086200    	 1.131959 	 0.596415 	   0.222965 	   0.074804
mean20_max80		1.116655 	 0.598646  	  0.383932    	    0.130006    	 1.051659 	 0.633083 	   0.326648 	   0.138218
mean10_max90		1.076885 	 0.567872  	  0.268998    	    0.109191    	 1.133284 	 0.586133 	   0.259334 	   0.082294

data10
mean100_max0		1.045974 	 0.558406  	  0.265734    	    0.056050    	 1.045974 	 0.558406 	   0.265734 	   0.056050
mean90_max10		1.161566 	 0.553013  	  0.270406    	    0.057897    	 1.031815 	 0.555441 	   0.307588 	   0.057329
mean80_max20		1.170486 	 0.568921  	  0.195048    	    0.064200    	 1.101176 	 0.588169 	   0.355641 	   0.077314
mean75_max25		1.168997 	 0.552658  	  0.237405    	    0.060636    	 1.142634 	 0.566199 	   0.296546 	   0.063921
mean70_max30		1.151951 	 0.566156  	  0.219419    	    0.065918    	 1.028757 	 0.572047 	   0.287949 	   0.064755
mean60_max40		1.089417 	 0.567246  	  0.234012    	    0.077124    	 1.097442 	 0.574937 	   0.277883 	   0.079192
mean50_max50		1.048940 	 0.600364  	  0.353949    	    0.105664    	 1.135095 	 0.614357 	   0.299821 	   0.101321
mean40_max60		1.024976 	 0.577888  	  0.339719    	    0.118885    	 1.138820 	 0.575895 	   0.435947 	   0.091530
mean30_max70		1.084104 	 0.559772  	  0.340838    	    0.106438    	 1.088110 	 0.604385 	   0.329901 	   0.100211
mean20_max80		1.040571 	 0.578908  	  0.281627    	    0.087437    	 1.072860 	 0.581454 	   0.319708 	   0.073930
mean10_max90		1.126325 	 0.580025  	  0.316037    	    0.103064    	 1.024071 	 0.561476 	   0.353309 	   0.073010

data11
mean100_max0		1.021608 	 0.557959  	  0.356005    	    0.064778    	 1.025932 	 0.556690 	   0.283141 	   0.055860
mean90_max10		1.173966 	 0.558947  	  0.260478    	    0.057617    	 1.049213 	 0.560784 	   0.285253 	   0.057111
mean80_max20		1.169256 	 0.569791  	  0.197975    	    0.064167    	 1.136604 	 0.560701 	   0.228940 	   0.066775
mean75_max25		1.077592 	 0.577259  	  0.285913    	    0.080832    	 1.134685 	 0.587387 	   0.267583 	   0.088953
mean70_max30		1.067897 	 0.553662  	  0.281575    	    0.066415    	 1.122607 	 0.572615 	   0.329731 	   0.068105
mean60_max40		1.077208 	 0.592069  	  0.480097    	    0.139403    	 1.078149 	 0.556240 	   0.296781 	   0.068763
mean50_max50		1.102770 	 0.598097  	  0.274816    	    0.096559    	 1.098492 	 0.582862 	   0.268443 	   0.087722
mean40_max60		1.055006 	 0.610086  	  0.496126    	    0.141860    	 1.112801 	 0.587360 	   0.341042 	   0.100886
mean30_max70		1.172646 	 0.569377  	  0.197111    	    0.068808    	 1.172646 	 0.569377 	   0.197111 	   0.068808
mean20_max80		1.183965 	 0.563709  	  0.208512    	    0.065376    	 1.174699 	 0.583410 	   0.231915 	   0.083812
mean10_max90		1.179522 	 0.618748  	  0.348295    	    0.118563    	 1.126328 	 0.566898 	   0.266939 	   0.064000

data12
mean100_max0		1.103016 	 0.554086  	  0.287593    	    0.059628    	 1.019352 	 0.568101 	   0.342623 	   0.059545
mean90_max10		1.055945 	 0.561534  	  0.262941    	    0.057884    	 1.102342 	 0.557163 	   0.250004 	   0.058618
mean80_max20		1.072540 	 0.564262  	  0.281894    	    0.064508    	 1.125641 	 0.571480 	   0.332861 	   0.076854
mean75_max25		1.120921 	 0.595021  	  0.287184    	    0.099161    	 1.071819 	 0.570169 	   0.242384 	   0.066945
mean70_max30		1.156657 	 0.557194  	  0.309923    	    0.061458    	 1.070617 	 0.623057 	   0.393705 	   0.147589
mean60_max40		1.034819 	 0.574591  	  0.304239    	    0.081211    	 1.035492 	 0.582291 	   0.474285 	   0.088584
mean50_max50		1.055017 	 0.586973  	  0.311959    	    0.103796    	 1.052854 	 0.572323 	   0.251761 	   0.072423
mean40_max60		1.083893 	 0.573922  	  0.329389    	    0.072034    	 1.148085 	 0.614361 	   0.325715 	   0.105130
mean30_max70		1.077174 	 0.632946  	  0.633528    	    0.233019    	 1.066282 	 0.612864 	   0.529709 	   0.161737
mean20_max80		1.077346 	 0.570329  	  0.292958    	    0.072010    	 1.105226 	 0.618226 	   0.448698 	   0.170444
